,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
54,Place Bonaventure,45.49944439999999,-73.565,Brioche Dorée,45.50115299334741,-73.56890732822578,Bakery
55,Place Bonaventure,45.49944439999999,-73.565,Subway,45.50135813647789,-73.56906740759062,Sandwich Place
56,Place Bonaventure,45.49944439999999,-73.565,Le Tuktuk,45.49911362726504,-73.56968813059211,Food Truck
57,Place Bonaventure,45.49944439999999,-73.565,Madisons Restaurant & Bar,45.497072,-73.570398,Restaurant
58,Place Bonaventure,45.49944439999999,-73.565,Peroni,45.499907800008145,-73.57117618170092,Italian Restaurant
59,Place Bonaventure,45.49944439999999,-73.565,Laitue&GO,45.502264006032696,-73.56887431405683,Salad Place
60,Place Bonaventure,45.49944439999999,-73.565,Ben & Florentine,45.501181221194734,-73.57075844129218,Fast Food Restaurant
61,Place Bonaventure,45.49944439999999,-73.565,Zibo,45.50273156955802,-73.5688680146587,Restaurant
62,Place Bonaventure,45.49944439999999,-73.565,La Cage aux Sports,45.49685258129668,-73.57012546923387,Gastropub
63,Place Bonaventure,45.49944439999999,-73.565,Sushiman,45.50135256181294,-73.56909841498614,Sushi Restaurant
64,Duvernay-Est,45.6472189,-73.61523840000001,Saveur Plus Pizzaria,45.65086,-73.617201,Pizza Place
65,Dollard-des-OrmeauxNorthwest,45.4895636,-73.8205567,Danny's Bakeshop,45.49121192342082,-73.82171903494334,Bakery
66,Dollard-des-OrmeauxNorthwest,45.4895636,-73.8205567,Alpenhouse,45.486539,-73.820427,Swiss Restaurant
67,Montreal East,45.632000299999994,-73.5066981,Restaurant Sunshine,45.63109126489495,-73.50872802596797,Sushi Restaurant
68,AhuntsicNorth,45.5552352,-73.6682027,A&W Canada,45.554871,-73.668923,Fast Food Restaurant
69,AhuntsicNorth,45.5552352,-73.6682027,Pizza Pizza,45.55456196755171,-73.66845808666282,Pizza Place
70,AhuntsicNorth,45.5552352,-73.6682027,Brasserie au Coin du Métro Henri Bourassa Ltée,45.55540638537443,-73.66837131762624,Deli / Bodega
71,AhuntsicNorth,45.5552352,-73.6682027,Les Bridés,45.55404448824558,-73.66449305715909,Asian Restaurant
72,AhuntsicNorth,45.5552352,-73.6682027,Rôtisserie St-Hubert,45.554341394746984,-73.66531092199416,Restaurant
73,AhuntsicNorth,45.5552352,-73.6682027,Mikes,45.55402863582829,-73.66470501819471,Italian Restaurant
74,Downtown MontrealEast,45.503480100000004,-73.5684895,Il Focolaio,45.504009,-73.568213,Pizza Place
75,Downtown MontrealEast,45.503480100000004,-73.5684895,Time Out Market Montréal,45.5029943,-73.5701601,Restaurant
76,Downtown MontrealEast,45.503480100000004,-73.5684895,Escondite,45.50304462383894,-73.5678883120217,Taco Place
77,Downtown MontrealEast,45.503480100000004,-73.5684895,Five Guys,45.50261380459376,-73.57016891407007,Burger Joint
78,Downtown MontrealEast,45.503480100000004,-73.5684895,Café Parvis,45.505817,-73.569302,Café
79,Downtown MontrealEast,45.503480100000004,-73.5684895,Mandy's,45.50382272622568,-73.56874816088768,Salad Place
80,Downtown MontrealEast,45.503480100000004,-73.5684895,Jatoba,45.50337547227794,-73.56741364411731,Restaurant
81,Downtown MontrealEast,45.503480100000004,-73.5684895,biirū,45.505104900801804,-73.56886654760454,Japanese Restaurant
82,Downtown MontrealEast,45.503480100000004,-73.5684895,La Habanera,45.50315442179302,-73.56822342046142,Cuban Restaurant
83,Downtown MontrealEast,45.503480100000004,-73.5684895,Foodchain,45.50182130180153,-73.57081145353213,Vegetarian / Vegan Restaurant
84,Downtown MontrealEast,45.503480100000004,-73.5684895,Le Léman,45.50229991610567,-73.56809639062502,Swiss Restaurant
85,Downtown MontrealEast,45.503480100000004,-73.5684895,The Keg Steakhouse & Bar,45.50072988372419,-73.56897123862294,Steakhouse
86,Downtown MontrealEast,45.503480100000004,-73.5684895,Les 3 Brasseurs,45.502215950434,-73.57073904746241,Gastropub
87,Downtown MontrealEast,45.503480100000004,-73.5684895,Vua Sandwichs,45.504301255989574,-73.57234613439306,Sandwich Place
88,Downtown MontrealEast,45.503480100000004,-73.5684895,Vargas Steakhouse & Sushi,45.50176248334481,-73.56725901445657,Steakhouse
89,Downtown MontrealEast,45.503480100000004,-73.5684895,Reuben’s Restaurant Delicatessen,45.501916272343166,-73.5708456763873,Deli / Bodega
90,Downtown MontrealEast,45.503480100000004,-73.5684895,Albert Bistro,45.50218789145818,-73.56453833331517,Bistro
91,Downtown MontrealEast,45.503480100000004,-73.5684895,NYKS Bistro Pub,45.50632425917815,-73.56638244378388,French Restaurant
92,Downtown MontrealEast,45.503480100000004,-73.5684895,Dominion Square Tavern,45.50040540450307,-73.57163553893498,Gastropub
93,Downtown MontrealEast,45.503480100000004,-73.5684895,A&W,45.505387,-73.567974,Fast Food Restaurant
94,Downtown MontrealEast,45.503480100000004,-73.5684895,Venice,45.502265580070045,-73.56457922456107,Hawaiian Restaurant
95,Downtown MontrealEast,45.503480100000004,-73.5684895,Jerry Ferrer,45.502485291697994,-73.56508984977313,Comfort Food Restaurant
96,Downtown MontrealEast,45.503480100000004,-73.5684895,Première Moisson,45.500508463389245,-73.56752128801085,Bakery
97,Downtown MontrealEast,45.503480100000004,-73.5684895,Lola Rosa,45.507021,-73.566403,Vegetarian / Vegan Restaurant
98,Downtown MontrealEast,45.503480100000004,-73.5684895,La Finca – café & bureau,45.50452048526137,-73.56311578607162,Café
99,Downtown MontrealEast,45.503480100000004,-73.5684895,Monsieur Restaurant + Bar,45.5047025313352,-73.56361253549095,Restaurant
100,Downtown MontrealEast,45.503480100000004,-73.5684895,Les Enfants Terribles,45.501618536744346,-73.56861133553981,French Restaurant
101,Downtown MontrealEast,45.503480100000004,-73.5684895,East,45.50278384822422,-73.56917148866881,Asian Restaurant
102,Downtown MontrealEast,45.503480100000004,-73.5684895,Tiradito,45.50454438091839,-73.5634049166857,Peruvian Restaurant
103,Downtown MontrealEast,45.503480100000004,-73.5684895,Café Myriade,45.50054756995585,-73.5720443192742,Café
